Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1194000,1066000,1026677,799864
Depreciation & amortization,-,814000,786093,703801
Change in working capital,-,-106000,38959,-76126
Inventory,-,-389000,-159622,38456
Other working capital,-,1470000,1626356,1404620
Other non-cash items,-,-24000,63957,143957
Net cash provided by operating activites,-,1724000,1862164,1601395
Investments in property plant and equipment,-,-254000,-235808,-196775
Acquisitions net,-,-,-,-220000
Purchases of investments,-,-,-36000,-
Sales/Maturities of investments,-,-,31456,-
Other investing activites,-,-5000,-2709,-2062
Net cash used for investing activites,-,-224000,-221616,-423955
Net change in cash,-,-147000,3252656,52927
Cash at beginning of period,-,6390000,3138261,2869845
Cash at end of period,-,6243000,6390917,2922772
Operating Cash Flow,-,1724000,1862164,1601395
Capital Expenditure,-,-254000,-235808,-196775
Free Cash Flow,-,1470000,1626356,1404620
