Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8885000,8885000,7357000,6549000
Depreciation & amortization,3755000,3011000,2777000,3089000
Change in working capital,-3674000,-5106000,-7412000,12071000
Inventory,3522000,-4951000,266000,678000
Other working capital,5269000,3896000,1619000,20060000
Other non-cash items,592000,3055000,2001000,1739000
Net cash provided by operating activites,8644000,8396000,4779000,22634000
Investments in property plant and equipment,-3375000,-4500000,-3160000,-2574000
Purchases of investments,-786000,-162000,-27000,-9000
Other investing activites,-1765000,-963000,-87000,-120000
Net cash used for investing activites,-5986000,-5604000,-2802000,-2697000
Net change in cash,-754000,-2927000,-2366000,15758000
Cash at beginning of period,54251000,57281000,59648000,43889000
Cash at end of period,53542000,54354000,57281000,59648000
Operating Cash Flow,8644000,8396000,4779000,22634000
Capital Expenditure,-3375000,-4500000,-3160000,-2574000
Free Cash Flow,5269000,3896000,1619000,20060000
