Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-25289,-19889,-15828,-14567,-13846
Acquisitions net,-,-,-,-,-22661
Other investing activites,-8633,-8595,511,-151,-3960
Net cash used for investing activites,-56747,-27137,-14784,-14212,-39939
Debt repayment,-1451382,-1416000,-378968,-,-
Common stock issued,-,-,-,-,2301
Dividends Paid,-30031,-39925,-49957,-58568,-57704
Net cash used privided by (used for) financing activities,13586,-6646,-42546,-33741,-41546
Net change in cash,-5300,-13951,700,-2319,2191
Cash at beginning of period,38104,36468,34251,37653,36931
Cash at end of period,32804,24516,36468,34251,37653
Capital Expenditure,-25289,-19889,-15828,-14567,-13846
Free Cash Flow,12572,-57,42202,31067,69830
