Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4814970,3670449,2758474,1755261
Liabilities,,,,
Total Liabilities,4282584,3176889,2321541,1532414
Stockholders' Equity,,,,
Common Stock,340397,328113,317725,199981
Retained Earnings,180265,167124,120241,23518
Accumulated other comprehensive income,11724,-1677,-1033,-652
Total stockholders' equity,532386,493560,436933,222847
Total liabilities and stockholders' equity,4814970,3670449,2758474,1755261
