Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-75,-44,-10,-29
Acquisitions net,-,-6882,-827,-1742,-4929
Other investing activites,225,225,526,-2839,149
Net cash used for investing activites,-7410,-6732,-345,-4591,-4809
Common stock issued,-,595,-,163,-
Common stock repurchased,-,-,-100,-,-
Dividends Paid,-7000,-6895,-5597,-4400,-3417
Net cash used privided by (used for) financing activities,-6816,-6300,-5697,-4237,-3417
Net change in cash,-1840,-2093,4337,-143,-2683
Cash at beginning of period,14601,13885,9548,9691,12374
Cash at end of period,12761,11792,13885,9548,9691
Capital Expenditure,-,-75,-44,-10,-29
Free Cash Flow,12311,10864,10335,8675,5514
