Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4502267,5514755,4100976,3050852
Depreciation & amortization,-,591895,550226,487310
Change in working capital,-,-3146459,-1709857,-5446577
Inventory,-,-2133885,-1250351,1260997
Other working capital,-,17290,2666606,-1797309
Other non-cash items,-,589656,528541,767210
Net cash provided by operating activites,-,3751633,3642560,-1083239
Investments in property plant and equipment,-,-3734343,-975954,-714070
Acquisitions net,-,-25112,-23474,-23215
Other investing activites,-,-91934,176315,586655
Net cash used for investing activites,-,-3851389,-823113,-150630
Net change in cash,-,359014,635335,-240600
Cash at beginning of period,-,2113114,1477780,1718380
Cash at end of period,-,2472129,2113114,1477780
Operating Cash Flow,-,3751633,3642560,-1083239
Capital Expenditure,-,-3734343,-975954,-714070
Free Cash Flow,-,17290,2666606,-1797309
