Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,252420,284162,333612
Liabilities,,,
Total Liabilities,147535,175725,224752
Stockholders' Equity,,,
Common Stock,34660,34564,33889
Retained Earnings,140684,144332,145430
Total stockholders' equity,104885,108437,108860
Total liabilities and stockholders' equity,252420,284162,333612
