Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3076,-3288,-6138,-14080,-1556
Acquisitions net,-,-,-,-,88.225
Sales/Maturities of investments,-,-,66.915,21.33,200.771
Other investing activites,-8048,-1500,-,30.323,305.96
Net cash used for investing activites,-11124,-4788,-5996,-13936,-911.499
Common stock issued,-,12194,9129,10150,14134
Common stock repurchased,-,-439.434,-371.777,-537.617,-636.489
Other financing activites,-1612,-40.721,-44.427,-124.526,-87.996
Net cash used privided by (used for) financing activities,91205,11714,8713,9488,13409
Net change in cash,76169,3454,45.799,-6212,10977
Cash at beginning of period,1209,5586,5542,11756,778.206
Cash at end of period,77378,9040,5586,5542,11756
Capital Expenditure,-3076,-3288,-6138,-14080,-1556
Free Cash Flow,-6989,-6760,-8809,-15844,-3077
