Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,462000,462000,911000,1403000,1083000
Depreciation & amortization,1525000,1525000,1354000,1463000,1647000
Change in working capital,71000,71000,84000,-36000,272000
Inventory,5000,5000,12000,-10000,-9000
Other working capital,-20000,-20000,416000,2171000,1623000
Other non-cash items,149000,149000,-87000,42000,177000
Net cash provided by operating activites,2743000,2743000,2651000,3344000,3638000
Investments in property plant and equipment,-2763000,-2763000,-2235000,-1173000,-2015000
Acquisitions net,-1788000,-1788000,-343000,-,-
Purchases of investments,-193000,-193000,-391000,-9000,-1277000
Sales/Maturities of investments,293000,293000,391000,-,-
Other investing activites,-335000,-335000,-348000,-357000,-205000
Net cash used for investing activites,-4798000,-4798000,-2876000,-1632000,-3339000
Net change in cash,1252000,1252000,-1041000,498000,52000
Cash at beginning of period,1642000,1642000,2684000,2186000,2134000
Cash at end of period,2895000,2895000,1642000,2684000,2186000
Operating Cash Flow,2743000,2743000,2651000,3344000,3638000
Capital Expenditure,-2763000,-2763000,-2235000,-1173000,-2015000
Free Cash Flow,-20000,-20000,416000,2171000,1623000
