Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,179410,173026,142120,219939
Depreciation & amortization,-,662915,673371,688873
Change in working capital,-,150179,199409,29208
Inventory,-,-107534,58369,-75819
Other working capital,-,389967,-34068,605286
Other non-cash items,-,51465,21188,-106978
Net cash provided by operating activites,-,960811,896403,1020091
Investments in property plant and equipment,-,-570844,-930471,-414805
Purchases of investments,-,-117985,-29871,-29308
Sales/Maturities of investments,-,213650,194874,16058
Other investing activites,-,1173,-28415,-16910
Net cash used for investing activites,-,-457642,-791284,-409899
Net change in cash,-,-484610,-89138,555526
Cash at beginning of period,-,2868922,2958061,2402534
Cash at end of period,-,2384311,2868922,2958061
Operating Cash Flow,-,960811,896403,1020091
Capital Expenditure,-,-570844,-930471,-414805
Free Cash Flow,-,389967,-34068,605286
