Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-14739,-8329,-5661,-1940,-
Acquisitions net,-,-,-4251,-,-
Net cash used for investing activites,-28420,-8126,-7573,-1925,-12561
Debt repayment,-4547,-12138,-4812,-2083,-3334
Common stock issued,-,-,8791,-,8535
Common stock repurchased,-,-,-549.408,-6.645,-591.798
Net cash used privided by (used for) financing activities,14649,-10367,10429,-1969,13110
Net change in cash,3157,-267.062,1582,412.626,483.219
Cash at beginning of period,3925,1864,281.511,-131.115,-614.334
Cash at end of period,7082,1597,1864,281.511,-131.115
Capital Expenditure,-14739,-8329,-5661,-1940,-
Free Cash Flow,2189,9898,-6935,2367,-65.721
