Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2664,-27047,-35030,-22550,-23939
Acquisitions net,-,-865,-,-,-
Purchases of investments,-,-,-,-,13
Sales/Maturities of investments,-,-,-,-,67860
Other investing activites,-,2542,31082,30,-
Net cash used for investing activites,-33965,-25370,-3948,-22520,115741
Debt repayment,-,-9000,-,-,-75800
Common stock repurchased,-,-,-10662,-697,-12869
Dividends Paid,-4813,-4232,-4669,-7382,-10341
Other financing activites,-,-,-576,-359,-3674
Net cash used privided by (used for) financing activities,15816,14392,-11207,-8438,-93499
Net change in cash,-10005,-6904,-9454,-25990,26960
Cash at beginning of period,13994,13370,24451,50441,19784
Cash at end of period,3989,6466,13370,22741,43800
Capital Expenditure,-2664,-27047,-35030,-22550,-23939
Free Cash Flow,5480,-22973,-29329,-17582,-19221
