Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2475,-2483,-399.349,-31.05,-22.384
Net cash used for investing activites,-2475,-2483,-391.102,-31.05,-22.384
Common stock issued,-,0.04,4650,491.578,-
Common stock repurchased,-,-,-184.006,-,-
Net cash used privided by (used for) financing activities,-,0.04,4466,491.578,-
Net change in cash,-3349,-2951,3594,219.743,-288.614
Cash at beginning of period,3943,4329,734.631,514.888,803.502
Cash at end of period,593.898,1379,4329,734.631,514.888
Capital Expenditure,-2475,-2483,-399.349,-31.05,-22.384
Free Cash Flow,-3349,-2951,-880.613,-271.835,-288.614
