Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-165000,2844000,4709000,4035000
Depreciation & amortization,-,11714000,11661000,10329000
Change in working capital,-,7506000,-5091000,-4330000
Inventory,-,1719000,96000,-2351000
Other working capital,-,16290000,-2120000,231000
Other non-cash items,-,438000,843000,2728000
Net cash provided by operating activites,-,23141000,10616000,13245000
Investments in property plant and equipment,-,-6851000,-12736000,-13014000
Purchases of investments,-,-38000,-34000,-158000
Sales/Maturities of investments,-,-,-,3000
Other investing activites,-,-31000,-5000,-70000
Net cash used for investing activites,-,-6820000,-12683000,-13116000
Net change in cash,-,1319000,152000,-1002000
Cash at beginning of period,-,5871000,5719000,6831000
Cash at end of period,-,7191000,5871000,5719000
Operating Cash Flow,-,23141000,10616000,13245000
Capital Expenditure,-,-6851000,-12736000,-13014000
Free Cash Flow,-,16290000,-2120000,231000
