Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,228643,364604,110411,233912
Depreciation & amortization,-,329101,365836,411910
Change in working capital,-,51098,114250,43596
Inventory,-,19269,-9121,-2582
Other working capital,-,776500,644686,530598
Other non-cash items,-,3617,4263,4020
Net cash provided by operating activites,-,988571,857840,700890
Investments in property plant and equipment,-,-212071,-213154,-170292
Sales/Maturities of investments,-,10,50,-
Other investing activites,-,3724,32038,-45861
Net cash used for investing activites,-,-208337,-181046,-215953
Net change in cash,-,231568,118701,493695
Cash at beginning of period,-,3161978,3043276,2549580
Cash at end of period,-,3393547,3161978,3043276
Operating Cash Flow,-,988571,857840,700890
Capital Expenditure,-,-212071,-213154,-170292
Free Cash Flow,-,776500,644686,530598
