Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1245779,1069692,970801,945177
Liabilities,,,,
Total Liabilities,1140029,977595,898128,912444
Stockholders' Equity,,,,
Common Stock,140639,140639,128500,128500
Retained Earnings,-55683,-66201,-75108,-113561
Accumulated other comprehensive income,-3714,-6628,-5216,-6303
Total stockholders' equity,105750,92097,72673,32733
Total liabilities and stockholders' equity,1245779,1069692,970801,945177
