Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5538184,5502219,5210485,4701346
Liabilities,,,,
Total Liabilities,4974917,4949651,4648008,4170321
Stockholders' Equity,,,,
Common Stock,33,33,33,33
Retained Earnings,100551,97539,70575,41726
Accumulated other comprehensive income,3382,-6079,-1869,-2394
Total stockholders' equity,563267,552568,562477,531025
Total liabilities and stockholders' equity,5538184,5502219,5210485,4701346
