Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,7417,7458,6870,6282,5953
Interest Expense,4927,4872,3124,1854,1431
Income Before Tax,3857,3727,3253,2485,2124
Income Tax Expense,974,932,1128,848,799
Income from Continuing Operations,2883,2795,2125,1637,1325
Net Income,2883,2795,2125,1637,1325
Net Income available to common shareholders,2883,2795,2125,1637,1325
Basic EPS,-,1.57,1.16,0.87,0.69
Diluted EPS,-,1.57,1.16,0.87,0.69
Basic Average Shares,-,1781,1827,1874,1910
Diluted Average Shares,-,1781,1827,1874,1910
