Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10263730,8867814,8146090,6174075
Depreciation & amortization,-,124183,127229,122213
Change in working capital,-,-1593299,530523,593888
Other working capital,-,6853145,9602364,7685932
Other non-cash items,-,-166039,401101,349646
Net cash provided by operating activites,-,6914182,9813805,7769246
Investments in property plant and equipment,-,-61037,-211441,-83314
Acquisitions net,-,-,-4000,-20000
Purchases of investments,-,-1572590,-116806,-233630
Sales/Maturities of investments,-,1023506,126535,82156
Other investing activites,-,1005062,-7896432,1717495
Net cash used for investing activites,-,394941,-8102144,1462707
Net change in cash,-,1758504,-1706786,6676624
Cash at beginning of period,-,7236592,8943379,2266755
Cash at end of period,-,8995097,7236592,8943379
Operating Cash Flow,-,6914182,9813805,7769246
Capital Expenditure,-,-61037,-211441,-83314
Free Cash Flow,-,6853145,9602364,7685932
