Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2449123,2274409,1720771,1062456
Liabilities,,,,
Total Liabilities,2136376,1991398,1514919,957216
Stockholders' Equity,,,,
Common Stock,14008,13934,11153,5908
Retained Earnings,65839,39991,21889,16871
Accumulated other comprehensive income,168,-2765,-1198,-1002
Total stockholders' equity,312747,283011,205852,105240
Total liabilities and stockholders' equity,2449123,2274409,1720771,1062456
