Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,57896,57896,49396,45990,43416
Interest Expense,4634,4634,5184,5057,4951
Income Before Tax,56623,56623,48241,44880,42316
Income Tax Expense,846,846,473.02,793.667,106.353
Income from Continuing Operations,55777,55777,47768,44087,42210
Net Income,55777,55777,47768,44087,42210
Net Income available to common shareholders,55777,55777,47768,44087,42210
Basic EPS,-,0.45,0.39,0.36,0.35
Diluted EPS,-,0.45,0.39,0.36,0.35
Basic Average Shares,-,124180,123870,123557,120054
Diluted Average Shares,-,124180,123870,123557,120599
