Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-13908,-8291
Net cash used for investing activites,-13908,-8291
Common stock issued,-,30000
Common stock repurchased,-,-1902
Net cash used privided by (used for) financing activities,-48.721,28098
Net change in cash,-17155,17345
Cash at beginning of period,28634,4951
Cash at end of period,11479,22296
Capital Expenditure,-13908,-8291
Free Cash Flow,-17107,-10752
