Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,21026,21026,17300,-1028,5738
Depreciation & amortization,18305,18305,7236,7291,5941
Change in working capital,-2121,-2121,-28783,-9617,11126
Inventory,-14889,-14889,-1109,-7793,1280
Other working capital,100551,100551,-13633,-6593,13829
Net cash provided by operating activites,106997,106997,-8738,-1683,23697
Investments in property plant and equipment,-6446,-6446,-4895,-4910,-9868
Acquisitions net,-51936,-51936,-104466,-6455,-7429
Sales/Maturities of investments,5359,5359,763,2568,13657
Other investing activites,-,-,-,-,-8973
Net cash used for investing activites,-45644,-45644,-82005,-4437,8227
Net change in cash,103501,103501,9351,-13773,3322
Cash at beginning of period,10539,10539,1188,14961,11639
Cash at end of period,114040,114040,10539,1188,14961
Operating Cash Flow,106997,106997,-8738,-1683,23697
Capital Expenditure,-6446,-6446,-4895,-4910,-9868
Free Cash Flow,100551,100551,-13633,-6593,13829
