Breakdown,ttm,12/31/2019
Total Revenue,0,0
Total Operating Expenses,1574,1574
Operating Income or Loss,-1574,-1574
Income Before Tax,1591,1591
Income Tax Expense,627.795,627.795
Income from Continuing Operations,963.51,963.51
Net Income,963.51,963.51
Net Income available to common shareholders,963.51,963.51
