Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,12223000,3306000,11583000,-62848000
Depreciation & amortization,24099000,25136000,24802000,34052000
Change in working capital,-1916000,-7677000,-1941000,-1918000
Inventory,1228000,-9018000,-5843000,2675000
Other working capital,-7565000,-6057000,7865000,2233000
Other non-cash items,-8589000,-1362000,-12290000,60010000
Net cash provided by operating activites,22892000,18555000,27040000,28813000
Investments in property plant and equipment,-30457000,-24612000,-19175000,-26580000
Acquisitions net,-,-88000,-,-
Purchases of investments,-41000,-280000,-2557000,-37000
Sales/Maturities of investments,5459000,6873000,165000,1000
Other investing activites,-188000,-76000,-19000,147000
Net cash used for investing activites,-24789000,-18036000,-21303000,-26280000
Net change in cash,72252000,-4267000,12951000,-3773000
Cash at beginning of period,107467000,117760000,104101000,107875000
Cash at end of period,180506000,113492000,117760000,104101000
Operating Cash Flow,22892000,18555000,27040000,28813000
Capital Expenditure,-30457000,-24612000,-19175000,-26580000
Free Cash Flow,-7565000,-6057000,7865000,2233000
