Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,31345,31345,28716,24683,22354
Interest Expense,8083,8083,5386,4493,3945
Income Before Tax,9616,9616,4844,6391,5234
Income Tax Expense,1662,1662,633,2114,1248
Income from Continuing Operations,7954,7954,4211,4277,3986
Net Income,7954,7954,4211,4277,3986
Net Income available to common shareholders,7772,7772,4120,4277,3986
Basic EPS,-,-,1.73,1.95,1.86
Diluted EPS,-,-,1.72,1.93,1.85
Basic Average Shares,-,-,2382,2193,2143
Diluted Average Shares,-,-,2395,2216,2155
