Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2666990,2680615,2692568,2568869
Depreciation & amortization,-,2889724,2756657,2850193
Change in working capital,-,-204314,1126996,-299798
Inventory,-,263134,567349,212264
Other working capital,-,-1725384,-3458710,-1167912
Other non-cash items,-,119190,153295,-90716
Net cash provided by operating activites,-,5276112,6630660,4872158
Investments in property plant and equipment,-,-7001496,-10089370,-6040070
Purchases of investments,-,-500000,-,-1796
Other investing activites,-,2846943,5714296,3178788
Net cash used for investing activites,-,-4612453,-4355443,-2804328
Net change in cash,-,-885906,1372852,1444875
Cash at beginning of period,-,7335189,5962337,4517461
Cash at end of period,-,6449283,7335189,5962337
Operating Cash Flow,-,5276112,6630660,4872158
Capital Expenditure,-,-7001496,-10089370,-6040070
Free Cash Flow,-,-1725384,-3458710,-1167912
