Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,177917,172880,157657
Liabilities,,,
Total Liabilities,8776,22104,21607
Stockholders' Equity,,,
Common Stock,8724,8724,8724
Total stockholders' equity,169141,150776,136050
Total liabilities and stockholders' equity,177917,172880,157657
