Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,11282450,11529153,8270586,8073707
Liabilities,,,,
Total Liabilities,9288352,9677963,7201320,7082845
Stockholders' Equity,,,,
Common Stock,1298792,1293669,573453,531192
Retained Earnings,682692,575805,494361,449499
Accumulated other comprehensive income,12614,-18284,1452,10171
Total stockholders' equity,1994098,1851190,1069266,990862
Total liabilities and stockholders' equity,11282450,11529153,8270586,8073707
