Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-481847,259779,224466,84465
Depreciation & amortization,-,316893,123096,108645
Stock based compensation,-,7764,-,-
Change in working capital,-,-850,-246317,-262248
Other working capital,-,-119567,723,-374243
Other non-cash items,-,-22484,20803,10297
Net cash provided by operating activites,-,533639,194384,-53651
Investments in property plant and equipment,-,-653206,-193661,-320592
Acquisitions net,-,-1578,-,-
Purchases of investments,-,-,-29999,-
Sales/Maturities of investments,-,3,-,-
Other investing activites,-,-375040,-3903,-990
Net cash used for investing activites,-,-1131607,-227563,-321582
Net change in cash,-,423043,246628,-252322
Cash at beginning of period,-,521747,275119,527442
Cash at end of period,-,944790,521747,275119
Operating Cash Flow,-,533639,194384,-53651
Capital Expenditure,-,-653206,-193661,-320592
Free Cash Flow,-,-119567,723,-374243
