Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,194741000,174280000,151667000,85422000
Depreciation & amortization,102067000,71122000,61363000,103628000
Change in working capital,15931000,-311000,7956000,-22198000
Other working capital,223982000,201195000,129987000,74543000
Other non-cash items,-,-,-,11187000
Net cash provided by operating activites,308295000,276960000,194117000,142161000
Investments in property plant and equipment,-84313000,-75765000,-64130000,-67618000
Acquisitions net,-10778000,-126847000,-5330000,-177780000
Purchases of investments,-,-,-,-4060000
Sales/Maturities of investments,-,-,826000,12209000
Other investing activites,-1976000,-10048000,-4102000,306000
Net cash used for investing activites,-93654000,-204619000,-65937000,-214257000
Net change in cash,38302000,13088000,34625000,35354000
Cash at beginning of period,354355000,389822000,355196000,310322000
Cash at end of period,390658000,402911000,389822000,345676000
Operating Cash Flow,308295000,276960000,194117000,142161000
Capital Expenditure,-84313000,-75765000,-64130000,-67618000
Free Cash Flow,223982000,201195000,129987000,74543000
