Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,14751,23637,39277,27444
Selling General and Administrative,2455,2233,3707,4556
Total Operating Expenses,4830,7736,5441,4600
Interest Expense,6761,6807,6819,6893
Income Before Tax,9921,15901,33836,22844
Income Tax Expense,-,0,0,0
Income from Continuing Operations,9921,15901,33836,22844
Net Income,9921,15901,33836,22844
Net Income available to common shareholders,9921,15901,33836,22844
Basic EPS,-,0.03,0.07,0.04
Diluted EPS,-,0.03,0.07,0.04
Basic Average Shares,-,518513,518513,518513
Diluted Average Shares,-,518513,518513,518513
