Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,166085,288342,284834,469314
Depreciation & amortization,-,285742,301793,279663
Change in working capital,-,-80189,-364516,60269
Inventory,-,5233,-17133,42153
Other working capital,-,566362,136052,-327258
Other non-cash items,-,8234,-231265,-16526
Net cash provided by operating activites,-,823242,216440,703231
Investments in property plant and equipment,-,-256880,-80388,-1030489
Acquisitions net,-,-,-9980,-
Purchases of investments,-,-74569,-25040,-32259
Sales/Maturities of investments,-,75150,315265,100777
Other investing activites,-,51720,609977,-177297
Net cash used for investing activites,-,-191754,781821,-1136489
Net change in cash,-,153109,330838,342224
Cash at beginning of period,-,1524371,1193533,851309
Cash at end of period,-,1682125,1524371,1193533
Operating Cash Flow,-,823242,216440,703231
Capital Expenditure,-,-256880,-80388,-1030489
Free Cash Flow,-,566362,136052,-327258
