Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,635100,610899,515195
Liabilities,,,
Total Liabilities,227990,256699,214113
Stockholders' Equity,,,
Common Stock,33,33,30
Retained Earnings,-7343,3660,7283
Total stockholders' equity,407110,354200,301082
Total liabilities and stockholders' equity,635100,610899,515195
