Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,325857,324878,312295,239461
Liabilities,,,,
Total Liabilities,2714,2392,1622,878
Stockholders' Equity,,,,
Common Stock,266,264,246,229
Retained Earnings,-,-,-112,-1107
Total stockholders' equity,323143,322486,310673,238583
Total liabilities and stockholders' equity,325857,324878,312295,239461
