Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4429521,4297435,4065398,3864230
Liabilities,,,,
Total Liabilities,3956106,3861610,3661985,3472683
Stockholders' Equity,,,,
Common Stock,139103,158215,156904,156041
Retained Earnings,340580,302030,266723,249415
Accumulated other comprehensive income,-6268,-24420,-20214,-13909
Total stockholders' equity,473415,435825,403413,391547
Total liabilities and stockholders' equity,4429521,4297435,4065398,3864230
