Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4117,-2158,-2797,-1444,-1398
Acquisitions net,-,-5195,-,-3032,-
Purchases of investments,-,-,-2562,-10535,-
Other investing activites,-,-0.5,4.476,491.484,-
Net cash used for investing activites,-9312,-7354,-5354,-14519,-1060
Debt repayment,-84.007,-56.319,-31.339,-,-60.013
Common stock issued,-,-,5581,300,3422
Common stock repurchased,-,-,-166.834,-44.427,-68.259
Net cash used privided by (used for) financing activities,11595,16861,7210,16244,3353
Net change in cash,-3105,5507,-2022,749.127,1666
Cash at beginning of period,3435,365.592,2415,1666,0.01
Cash at end of period,329.44,6055,365.592,2415,1666
Capital Expenditure,-4117,-2158,-2797,-1444,-1398
Free Cash Flow,-9505,-6158,-6674,-2419,-2025
