Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-2322,-1244
Net cash used for investing activites,-2324,-1244
Debt repayment,-,-164
Common stock issued,2926,5447
Common stock repurchased,-61.178,-286.921
Net cash used privided by (used for) financing activities,2865,4996
Net change in cash,164.897,3494
Cash at beginning of period,4571,52.064
Cash at end of period,4735,3546
Capital Expenditure,-2322,-1244
Free Cash Flow,-2697,-1502
