Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3102000,2075000,2400000,4103000
Depreciation & amortization,-,2409000,2468000,2434000
Change in working capital,-,-1207000,5049000,32000
Inventory,-,321000,-142000,80000
Other working capital,-,1668000,7440000,4481000
Other non-cash items,-,795000,-14000,693000
Net cash provided by operating activites,-,4141000,9522000,6883000
Investments in property plant and equipment,-,-2473000,-2082000,-2402000
Acquisitions net,-,-,-34000,-
Purchases of investments,-,-204000,-107000,-
Sales/Maturities of investments,-,376000,915000,-
Other investing activites,-,165000,91000,-72000
Net cash used for investing activites,-,-1918000,-745000,-2328000
Net change in cash,-,-1976000,4404000,1221000
Cash at beginning of period,-,23134000,18226000,17005000
Cash at end of period,-,21507000,23134000,18226000
Operating Cash Flow,-,4141000,9522000,6883000
Capital Expenditure,-,-2473000,-2082000,-2402000
Free Cash Flow,-,1668000,7440000,4481000
