Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-920209,-670661,436347,365167
Depreciation & amortization,-,290499,253388,253439
Change in working capital,-,447339,-1263761,-120054
Inventory,-,54088,-275836,-166489
Other working capital,-,-216684,-788840,-301077
Other non-cash items,-,-60363,63713,-318394
Net cash provided by operating activites,-,330846,-404948,364309
Investments in property plant and equipment,-,-547530,-383892,-665386
Purchases of investments,-,-1000000,-,-
Sales/Maturities of investments,-,1000000,-,-
Other investing activites,-,-,-1,-
Net cash used for investing activites,-,-541817,-383893,-664226
Net change in cash,-,-518592,341932,225335
Cash at beginning of period,-,2758668,2416735,2191399
Cash at end of period,-,2240075,2758668,2416735
Operating Cash Flow,-,330846,-404948,364309
Capital Expenditure,-,-547530,-383892,-665386
Free Cash Flow,-,-216684,-788840,-301077
