Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-15.614,-14.828,-10.696,-52.89,-57.981
Sales/Maturities of investments,-,-,-,3433,-
Net cash used for investing activites,-15.614,-14.828,-10.696,3380,-57.981
Common stock issued,-,-,16709,950,12390
Common stock repurchased,-,-,-1096,-,-501.751
Net cash used privided by (used for) financing activities,-,-,15613,950,11888
Net change in cash,-6241,-7516,7205,-1780,7258
Cash at beginning of period,13037,15205,8001,9780,2523
Cash at end of period,6796,7689,15205,8001,9780
Capital Expenditure,-15.614,-14.828,-10.696,-52.89,-57.981
Free Cash Flow,-6266,-7516,-8408,-6163,-4631
