Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,577958,459295,521941,521989
Liabilities,,,,
Total Liabilities,316144,197903,251810,252844
Stockholders' Equity,,,,
Common Stock,160,160,160,160
Retained Earnings,-20527,-27557,-5336,-5342
Total stockholders' equity,261814,261392,270131,269145
Total liabilities and stockholders' equity,577958,459295,521941,521989
