Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1482950,-1639200,105941,3230944
Depreciation & amortization,-,390284,396450,807804
Change in working capital,-,-2546592,-183084,93980
Other working capital,-,-4260467,-597350,1647184
Other non-cash items,-,8751,-91976,114144
Net cash provided by operating activites,-,-3355360,-175760,1902755
Investments in property plant and equipment,-,-905107,-421590,-255571
Acquisitions net,-,-621027,-344711,-617377
Purchases of investments,-,-716407,-210624,-381559
Sales/Maturities of investments,-,-,-,3594651
Other investing activites,-,-243178,-194034,-75456
Net cash used for investing activites,-,-2555244,-1521815,2264688
Net change in cash,-,2568317,-1169720,3951748
Cash at beginning of period,-,10159712,11329433,7377684
Cash at end of period,-,12861417,10159712,11329433
Operating Cash Flow,-,-3355360,-175760,1902755
Capital Expenditure,-,-905107,-421590,-255571
Free Cash Flow,-,-4260467,-597350,1647184
