Breakdown,ttm,2/29/2020,2/28/2019,2/28/2018,2/28/2017
Net Income,370083,370083,437254,371148,298796
Depreciation & amortization,83641,83641,37569,41588,45167
Change in working capital,130756,130756,-86071,-336037,-145368
Other working capital,800807,800807,534418,281050,518704
Other non-cash items,-1040358,-1040358,-1054852,-1030932,-984169
Net cash provided by operating activites,842780,842780,594285,305392,532331
Investments in property plant and equipment,-41973,-41973,-59867,-24342,-13627
Sales/Maturities of investments,114,114,-,-,-
Other investing activites,-44915,-44915,-14064,-4688,19227
Net cash used for investing activites,-85792,-85792,-73033,-21487,6516
Net change in cash,291072,291072,-239470,111615,257994
Cash at beginning of period,478556,478556,721762,602090,349283
Cash at end of period,764987,764987,478556,721762,602090
Operating Cash Flow,842780,842780,594285,305392,532331
Capital Expenditure,-41973,-41973,-59867,-24342,-13627
Free Cash Flow,800807,800807,534418,281050,518704
