Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,191253,38787,237744,35344
Depreciation & amortization,-,215480,243648,355328
Change in working capital,-,673257,348116,1205876
Inventory,-,363501,593480,720081
Other working capital,-,558762,-327563,1004824
Other non-cash items,-,5765,-359311,425735
Net cash provided by operating activites,-,1009441,342741,2469491
Investments in property plant and equipment,-,-450679,-670304,-1464667
Purchases of investments,-,-67895,-7521,-7269
Sales/Maturities of investments,-,-,8148,-
Other investing activites,-,3831,-9713,10331
Net cash used for investing activites,-,-514743,-679390,-1461605
Net change in cash,-,-320188,-1491115,-438026
Cash at beginning of period,-,3737792,5228907,5666934
Cash at end of period,-,3417603,3737792,5228907
Operating Cash Flow,-,1009441,342741,2469491
Capital Expenditure,-,-450679,-670304,-1464667
Free Cash Flow,-,558762,-327563,1004824
