Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1782841,976904,821610,694823
Depreciation & amortization,-,242415,231210,207748
Stock based compensation,-,23626,16353,-
Change in working capital,-,34101,-116172,121651
Other working capital,-,1185918,869152,658980
Other non-cash items,-,54411,13076,8308
Net cash provided by operating activites,-,1352682,1225682,825012
Investments in property plant and equipment,-,-166764,-356530,-166032
Purchases of investments,-,-170000,-10000,-
Sales/Maturities of investments,-,-,40823,-
Other investing activites,-,-1743,-133320,349999
Net cash used for investing activites,-,-338507,-459027,183967
Net change in cash,-,433279,420834,408167
Cash at beginning of period,-,2293254,1872420,1464252
Cash at end of period,-,2726534,2293254,1872420
Operating Cash Flow,-,1352682,1225682,825012
Capital Expenditure,-,-166764,-356530,-166032
Free Cash Flow,-,1185918,869152,658980
