Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-7.676,-40.577,-245.929
Acquisitions net,-,-,262.961,-,-77.06
Net cash used for investing activites,-,-,255.285,-40.577,-322.989
Common stock issued,-,1000,5067,1926,254.718
Common stock repurchased,-,-50,-334,-15.64,-199.044
Net cash used privided by (used for) financing activities,-,950,4733,1911,55.674
Net change in cash,1324,-780.597,1483,-1491,-3965
Cash at beginning of period,801.142,2105,621.684,2130,6058
Cash at end of period,2125,1325,2105,621.684,2130
Capital Expenditure,-,-,-7.676,-40.577,-245.929
Free Cash Flow,-602.879,-1731,-3513,-3401,-3944
