Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-429,-1708,-267,-382,-221
Purchases of investments,-,-,-,-,-7124
Net cash used for investing activites,-429,-1708,-267,-382,-7345
Debt repayment,-6682,-1600,-,-,-
Common stock issued,16633,2000,5000,9976,20000
Common stock repurchased,-,-,-,-672,-1471
Net cash used privided by (used for) financing activities,17861,6400,6600,12304,21445
Net change in cash,276,-2462,-1505,1404,1577
Cash at beginning of period,4097,4068,5573,4169,2592
Cash at end of period,4373,1606,4068,5573,4169
Capital Expenditure,-429,-1708,-267,-382,-221
Free Cash Flow,-9591,-8862,-8105,-10900,-12744
