Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-2909,-3358,-1090
Purchases of investments,-,-42.9,-
Other investing activites,-,49.756,-50.357
Net cash used for investing activites,-2952,-3351,-1140
Common stock issued,-,1131,6500
Common stock repurchased,-,-63.656,-910.097
Other financing activites,-,-,-33.314
Net cash used privided by (used for) financing activities,-,1068,5557
Net change in cash,-955.473,-2805,4036
Cash at beginning of period,2433,4479,434.477
Cash at end of period,1477,1651,4479
Capital Expenditure,-2909,-3358,-1090
Free Cash Flow,-3656,-3879,-1470
