Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-5285,-5285,-10454,-6176,-4306
Net cash used for investing activites,-586,-586,-10435,-6161,-4289
Dividends Paid,-4803,-4803,-8365,-5934,-
Other financing activites,-15103,-15103,-,-,-
Net cash used privided by (used for) financing activities,-19906,-19906,-8365,-5934,-
Net change in cash,-9628,-9628,-6792,2949,11266
Cash at beginning of period,27566,27566,34358,31409,20143
Cash at end of period,17938,17938,27566,34358,31409
Capital Expenditure,-5285,-5285,-10454,-6176,-4306
Free Cash Flow,5579,5579,1554,8868,11249
