Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6782,-5409,-5575,-3430,-9487
Acquisitions net,-,-,-,-820,-728
Purchases of investments,-44867,-60067,-12965,-1070,-2228
Sales/Maturities of investments,-,32000,-,-,9624
Other investing activites,-,-425,17377,562,1050
Net cash used for investing activites,-19934,-32116,-876,-3292,-968
Debt repayment,-21716,-15143,-28143,-13008,-13528
Common stock repurchased,-2750,-719,-2043,-,-
Dividends Paid,-13995,-14484,-6549,-4679,-3501
Other financing activites,-574,868,-1741,-2134,-1640
Net cash used privided by (used for) financing activities,-16404,-10211,-30556,-14772,-4446
Net change in cash,-806,-9290,13589,4180,2540
Cash at beginning of period,24477,25938,11417,7068,4192
Cash at end of period,23671,17371,25938,11417,7068
Capital Expenditure,-6782,-5409,-5575,-3430,-9487
Free Cash Flow,28750,27628,39446,18814,-1533
