Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,13574000,9250000,8179000
Liabilities,,,
Total Liabilities,8238000,6347000,5294000
Stockholders' Equity,,,
Common Stock,4097000,3315000,3314000
Retained Earnings,-2586000,-3437000,-3470000
Total stockholders' equity,5336000,2903000,2885000
Total liabilities and stockholders' equity,13574000,9250000,8179000
