Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-106.956,-106.956
Other investing activites,40,40
Net cash used for investing activites,-66.956,-66.956
Common stock issued,8438,8438
Common stock repurchased,-649.801,-649.801
Other financing activites,-359.341,-359.341
Net cash used privided by (used for) financing activities,10023,10023
Net change in cash,791.973,791.973
Cash at beginning of period,12.496,12.496
Cash at end of period,775.543,775.543
Capital Expenditure,-106.956,-106.956
Free Cash Flow,-9271,-9271
