Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10000,-12000,-14000,-14000,-54000
Purchases of investments,-710000,-918000,-669000,-618000,-778000
Sales/Maturities of investments,-,31000,373000,34000,800000
Other investing activites,-221000,-44000,55000,20000,16000
Net cash used for investing activites,-780000,-943000,-255000,-578000,-1000
Debt repayment,-4576000,-4618000,-3442000,-4196000,-2620000
Common stock issued,-,750000,-,-,-
Common stock repurchased,-,-142000,-3000,-,-
Dividends Paid,-440000,-416000,-390000,-374000,-355000
Other financing activites,-,31000,-,-,-
Net cash used privided by (used for) financing activities,96000,338000,-293000,-183000,-214000
Net change in cash,21000,-87000,115000,-248000,294000
Cash at beginning of period,83000,221000,106000,354000,60000
Cash at end of period,104000,134000,221000,106000,354000
Capital Expenditure,-10000,-12000,-14000,-14000,-54000
Free Cash Flow,695000,506000,649000,499000,455000
