Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,43786000,37520000,38627000,28818000
Liabilities,,,,
Total Liabilities,35086000,29517000,31380000,23767000
Stockholders' Equity,,,,
Common Stock,7000,7000,7000,6000
Retained Earnings,8580000,7011000,6011000,5518000
Accumulated other comprehensive income,41000,-23000,-24000,-22000
Total stockholders' equity,8700000,8003000,7247000,5051000
Total liabilities and stockholders' equity,43786000,37520000,38627000,28818000
