Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,513580,568455,1295994,1447513
Depreciation & amortization,-,447033,206164,184920
Change in working capital,-,-1666693,-48898,774823
Other working capital,-,-853181,1262025,2223674
Other non-cash items,-,-60260,-18221,58529
Net cash provided by operating activites,-,-796810,1360117,2291683
Investments in property plant and equipment,-,-56371,-98092,-68009
Acquisitions net,-,-2459575,-,-
Purchases of investments,-,-80000,-120000,-40000
Other investing activites,-,-26710,126325,-266881
Net cash used for investing activites,-,-2617503,-91767,-374890
Net change in cash,-,-117511,818144,1444141
Cash at beginning of period,-,5173058,4354914,2910773
Cash at end of period,-,5055547,5173058,4354914
Operating Cash Flow,-,-796810,1360117,2291683
Capital Expenditure,-,-56371,-98092,-68009
Free Cash Flow,-,-853181,1262025,2223674
