Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1034700,1085808,1010655,648538
Depreciation & amortization,-,1415855,1338470,1069827
Stock based compensation,-,16323,10958,-
Change in working capital,-,-378723,-678801,339887
Inventory,-,-13023,-19144,-13507
Other working capital,-,1738236,339342,1211666
Other non-cash items,-,-49358,-253780,207198
Net cash provided by operating activites,-,2949003,2003783,2621858
Investments in property plant and equipment,-,-1210767,-1664441,-1410192
Acquisitions net,-,-,-1738519,-
Purchases of investments,-,-9999,-,-1634200
Sales/Maturities of investments,-,832830,-,80000
Other investing activites,-,-120220,-265731,-75336
Net cash used for investing activites,-,-699083,-3640105,-3037604
Net change in cash,-,1008795,-784182,937331
Cash at beginning of period,-,4793107,4845419,3908087
Cash at end of period,-,5801903,4793107,4845419
Operating Cash Flow,-,2949003,2003783,2621858
Capital Expenditure,-,-1210767,-1664441,-1410192
Free Cash Flow,-,1738236,339342,1211666
