Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-120.406,-186.669,-263.675,-293.97,-
Purchases of investments,-2102,-7351,-10751,-11618,-1101
Sales/Maturities of investments,-,6300,14335,9131,-
Net cash used for investing activites,1628,-1238,3320,-2781,-1101
Common stock issued,15232,16905,11557,12631,2649
Common stock repurchased,-334.391,-863.794,-583.091,-731.561,-187.032
Net cash used privided by (used for) financing activities,14898,16041,10974,11899,2462
Net change in cash,4394,-1297,1367,3150,-552.045
Cash at beginning of period,1614,5173,3807,657.392,1209
Cash at end of period,6008,3876,5173,3807,657.392
Capital Expenditure,-120.406,-186.669,-263.675,-293.97,-
Free Cash Flow,-12251,-16287,-13191,-6263,-1913
