Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,549937,549937,523114,432330,408267
Interest Expense,80600,80600,51866,33350,31813
Income Before Tax,184119,184119,145213,119092,116905
Income Tax Expense,34990,34990,28215,43820,36556
Income from Continuing Operations,149129,149129,116998,75272,80349
Net Income,149129,149129,116998,75272,80349
Net Income available to common shareholders,149129,149129,116959,75226,80108
Basic EPS,-,-,3.39,2.51,3.07
Diluted EPS,-,-,3.39,2.51,3.07
Basic Average Shares,-,-,34477,29953,26120
Diluted Average Shares,-,-,34477,29953,26120
