Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-4907,-4907
Other investing activites,-87,-87
Net cash used for investing activites,-4994,-4994
Debt repayment,-795,-795
Common stock issued,27255,27255
Common stock repurchased,-3953,-3953
Net cash used privided by (used for) financing activities,29507,29507
Net change in cash,13108,13108
Cash at beginning of period,13767,13767
Cash at end of period,26827,26827
Capital Expenditure,-4907,-4907
Free Cash Flow,-16312,-16312
