Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,4061156,4061156,4038185
Cost of Revenue,2696290,2696290,2801301
Gross Profit,1364865,1364865,1236884
Total Operating Expenses,1224540,1224540,1132521
Operating Income or Loss,140325,140325,104363
Income Before Tax,141538,141538,100549
Income Tax Expense,31119,31119,65557
Income from Continuing Operations,110419,110419,34992
Net Income,110418,110418,34992
Net Income available to common shareholders,110418,110418,34992
Basic EPS,-,-,17.07
Diluted EPS,-,-,17.07
Basic Average Shares,-,-,2050
Diluted Average Shares,-,-,2050
