Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,150617,150617,138091,134728,125175
Interest Expense,9493,9493,6891,3948,3189
Income Before Tax,40760,40760,29645,23066,17613
Income Tax Expense,9953,9953,3421,12203,5867
Income from Continuing Operations,30807,30807,26224,10863,11746
Net Income,30807,30807,26224,10863,11746
Net Income available to common shareholders,30807,30807,26224,10863,11746
Basic EPS,-,-,1.54,0.64,0.69
Diluted EPS,-,-,1.54,0.64,0.69
Basic Average Shares,-,-,17029,16952,16989
Diluted Average Shares,-,-,17072,17013,17061
