Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,34900,34900,31500,57800,57200
Depreciation & amortization,24100,24100,23800,18900,16100
Stock based compensation,800,800,900,1200,3600
Change in working capital,-9200,-9200,1900,-7500,-300
Inventory,600,600,-1200,-1200,400
Other working capital,13900,13900,33400,48000,58300
Other non-cash items,-5100,-5100,13800,31500,43100
Net cash provided by operating activites,32200,32200,58400,75000,81100
Investments in property plant and equipment,-18300,-18300,-25000,-27000,-22800
Acquisitions net,0,0,-6500,-28300,-56300
Purchases of investments,-736100,-736100,-5000,-1000,-
Sales/Maturities of investments,730200,730200,-,-,-
Net cash used for investing activites,-22100,-22100,-36100,-55700,-78100
Net change in cash,-7300,-7300,1000,-17800,-15100
Cash at beginning of period,63800,63800,49000,66800,81900
Cash at end of period,73400,73400,50000,49000,66800
Operating Cash Flow,32200,32200,58400,75000,81100
Capital Expenditure,-18300,-18300,-25000,-27000,-22800
Free Cash Flow,13900,13900,33400,48000,58300
