Breakdown,ttm,3/31/2019
Net Income,1272590,1272590
Depreciation & amortization,387753,387753
Change in working capital,92481,92481
Other working capital,38714,38714
Other non-cash items,-2027735,-2027735
Net cash provided by operating activites,2649452,2649452
Investments in property plant and equipment,-2610738,-2610738
Purchases of investments,-87957,-87957
Sales/Maturities of investments,9999,9999
Other investing activites,-138486,-138486
Net cash used for investing activites,-2749224,-2749224
Net change in cash,-13768,-13768
Cash at beginning of period,710656,710656
Cash at end of period,696888,696888
Operating Cash Flow,2649452,2649452
Capital Expenditure,-2610738,-2610738
Free Cash Flow,38714,38714
